Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,68366,2869,56962,8535,623,4.2,83.32,5.04,38928341,1756.0,64575,3791,5.87
Albania,132264,2447,129042,775,20,1.85,97.56,1.9,2877800,45960.0,132118,146,0.11
Algeria,127926,3448,89040,35438,280,2.7,69.6,3.87,43851043,2917.0,126156,1770,1.4
Andorra,13682,127,13405,150,11,0.93,97.98,0.95,77265,177079.0,13569,113,0.83
Angola,33607,745,27529,5333,269,2.22,81.91,2.71,32866268,1023.0,31661,1946,6.15
Antigua and Barbuda,1258,42,1200,16,0,3.34,95.39,3.5,97928,12846.0,1255,3,0.24
Argentina,3663215,76135,3219474,367606,41080,2.08,87.89,2.36,45195777,81052.0,3447044,216171,6.27
Armenia,222409,4416,212265,5728,140,1.99,95.44,2.08,2963234,75056.0,221559,850,0.38
Australia,30074,910,23571,5593,11,3.03,78.38,3.86,50919400,591.0,29999,75,0.25
Austria,643168,10573,626259,6336,585,1.64,97.37,1.69,9006400,71412.0,639616,3552,0.56
Azerbaijan,333317,4891,322806,5620,220,1.47,96.85,1.52,10139175,32874.0,331477,1840,0.56
Bahamas,11622,226,10503,893,25,1.94,90.37,2.15,393248,29554.0,11396,226,1.98
Bahrain,229468,902,201683,26883,3052,0.39,87.89,0.45,1701583,134856.0,209293,20175,9.64
Bangladesh,794985,12480,735157,47348,1292,1.57,92.47,1.7,164689383,4827.0,785194,9791,1.25
Barbados,4006,47,3922,37,2,1.17,97.9,1.2,287371,13940.0,3975,31,0.78
Belarus,390203,2811,380677,6715,1216,0.72,97.56,0.74,9449321,41294.0,381546,8657,2.27
Belgium,1055543,24902,0,1030641,2891,2.36,0.0,8.071640211640212,23021022,45851.0,1041706,13837,1.33
Belize,12789,323,12376,90,5,2.53,96.77,2.61,397621,32164.0,12761,28,0.22
Benin,8058,101,7893,64,0,1.25,97.95,1.28,12123198,665.0,8025,33,0.41
Bhutan,1491,1,1186,304,27,0.07,79.54,0.08,771612,1932.0,1338,153,11.43
Bolivia,361580,14312,288106,59162,3018,3.96,79.68,4.97,11673029,30976.0,340207,21373,6.28
Bosnia and Herzegovina,203762,9194,173626,20942,104,4.51,85.21,5.3,3280815,62107.0,203018,744,0.37
Botswana,53771,831,50494,2446,906,1.55,93.91,1.65,2351625,22865.0,51620,2151,4.17
Brazil,16342162,456674,14455810,1429678,67467,2.79,88.46,3.16,422706534,38661.0,15894094,448068,2.82
Brunei,241,3,228,10,1,1.24,94.61,1.32,437483,551.0,235,6,2.55
Bulgaria,417819,17637,379156,21026,293,4.22,90.75,4.65,6948445,60131.0,416055,1764,0.42
Burkina Faso,13421,166,13243,12,2,1.24,98.67,1.25,20903278,642.0,13408,13,0.1
Burma,143414,3216,132269,7929,96,2.24,92.23,2.43,54409800,2636.0,143183,231,0.16
Burundi,4650,6,773,3871,58,0.13,16.62,0.78,11890781,391.0,4418,232,5.25
Cabo Verde,29939,259,27914,1766,176,0.87,93.24,0.93,555988,53848.0,28898,1041,3.6
Cambodia,27638,194,20398,7046,649,0.7,73.8,0.95,16718971,1653.0,23697,3941,16.63
Cameroon,77982,1270,35261,41451,0,1.63,45.22,3.6,26545864,2938.0,77429,553,0.71
Canada,1378993,25393,1313603,39997,4721,1.84,95.26,1.93,75750184,18204.0,1355733,23260,1.72
Central African Republic,7083,97,6665,321,0,1.37,94.1,1.46,4829764,1467.0,7010,73,1.04
Chad,4926,173,4742,11,1,3.51,96.26,3.65,16425859,300.0,4918,8,0.16
Chile,1352723,28809,1282561,41353,8105,2.13,94.81,2.25,36692988,36866.0,1308311,44412,3.39
China,102932,4846,97707,379,7,4.71,94.92,4.96,2809352660,37.0,102822,110,0.11
Colombia,3319193,86693,3101390,131110,25092,2.61,93.44,2.8,99141018,33480.0,3177212,141981,4.47
Comoros,3879,146,3716,17,0,3.76,95.8,3.93,869595,4461.0,3864,15,0.39
Congo (Brazzaville),11658,153,8208,3297,0,1.31,70.41,1.86,89561403,130.0,11476,182,1.59
Congo (Kinshasa),31279,781,27649,2849,31,2.5,88.39,2.82,5518087,5668.0,30757,522,1.7
Costa Rica,311922,3929,239917,68076,2436,1.26,76.92,1.64,5094114,61232.0,296632,15290,5.15
Cote d'Ivoire,47146,301,46544,301,61,0.64,98.72,0.65,26378274,1787.0,46834,312,0.67
